itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
452360,4,SOL 미국배당다우존스(H),10465,5,-25,-0.24,10450.0,-7.7965,234836,2456,2407
241180,4,TIGER 일본니케이225,21445,5,-115,-0.53,21376.0,-2.1335,28972,621,2406
498410,2,KODEX 금융고배당TOP10타겟위클리커버드콜,10840,2,200,1.88,10843.0,11.2854,262770,2839,2396
273140,6,KODEX 단기변동금리부채권액티브,114245,5,-10,-0.01,114241.0,0.7051,1818,207,2383
365780,6,ACE 국고채10년,91750,2,25,0.03,91672.0,1.4264,5448,499,2362
466950,4,TIGER 글로벌AI액티브,16220,2,60,0.37,16235.0,-14.4748,65501,1064,2323
367770,2,RISE 수소경제테마,11600,2,25,0.22,11647.0,7.9052,78548,908,2308
488980,6,SOL 26-12 회사채(AA-이상)액티브,51770,2,15,0.03,51769.0,1.2223,612,31,2286
245710,4,ACE 베트남VN30(합성),21160,5,-230,-1.08,21156.0,-0.7885,18696,396,2285
0001S0,6,TIGER 26-04 회사채(A+이상)액티브,51055,2,15,0.03,51061.0,1.0392,3079,157,2265
200250,4,KIWOOM 인도Nifty50(합성),24930,2,125,0.5,25021.0,4.2226,40953,1014,2244
329650,7,KODEX TRF3070,13620,5,-45,-0.33,13608.0,-0.6544,34826,474,2234
143860,2,TIGER 헬스케어,36445,5,-260,-0.71,36386.0,-7.238,49211,1791,2223
395160,2,KODEX AI반도체,8320,5,-20,-0.24,8314.0,-10.7736,125759,1051,2221
091230,2,TIGER 반도체,31190,5,-155,-0.49,31259.0,-13.7381,74369,2330,2221
228790,2,TIGER 화장품,3570,2,75,2.15,3579.0,25.0,4604432,16327,2206
483320,4,ACE 엔비디아밸류체인액티브,8245,5,-40,-0.48,8304.0,-14.9821,501527,4155,2206
438100,7,ACE 미국나스닥100채권혼합액티브,13050,5,-50,-0.38,13051.0,-3.8533,82701,1081,2179
363570,6,KODEX 장기종합채권(AA-이상)액티브,103065,2,105,0.1,103075.0,1.3086,154,15,2179
434060,7,KODEX TDF2050액티브,14090,5,-55,-0.39,14095.0,-3.2424,104752,1479,2170
487240,2,KODEX AI전력핵심설비,11865,2,35,0.3,11894.0,4.0182,1179616,13940,2148
388420,2,RISE 비메모리반도체액티브,9305,5,-115,-1.22,9318.0,-15.2116,64310,602,2129
409820,4,KODEX 미국나스닥100레버리지(합성 H),11395,5,-85,-0.74,11490.0,-13.0304,95216,1092,2102
461270,6,ACE 26-06 회사채(AA-이상)액티브,11080,2,5,0.05,11080.0,1.0492,12746,141,2102
458260,6,TIGER 미국투자등급회사채액티브(H),47690,2,310,0.65,47633.0,-1.7584,7398,352,2099
456880,7,ACE 미국달러SOFR금리(합성),11510,5,-45,-0.39,11491.0,-2.7357,31472,362,2098
395270,2,HANARO Fn K-반도체,9315,5,-5,-0.05,9295.0,-11.7174,81321,758,2077
472170,7,TIGER 미국테크TOP10채권혼합,12355,2,5,0.04,12385.0,-3.5533,44816,555,2063
361580,1,RISE 200TR,19400,2,30,0.15,19434.0,-0.8701,6275,121,2056
295040,1,SOL 200TR,12810,2,5,0.04,12831.0,-0.7749,19802,253,2056
290130,2,RISE ESG사회책임투자,12700,2,50,0.4,12673.0,-1.801,18548,234,1981
0048J0,6,KODEX 미국머니마켓액티브,13755,5,-65,-0.47,13773.0,,799833,11021,1964
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),5700,5,-40,-0.7,5711.0,-15.6503,22201,126,1956
496020,6,WON 전단채플러스액티브,51140,2,10,0.02,51131.0,0.9078,2110,107,1921
435420,7,TIGER 미국나스닥100채권혼합Fn,12850,2,10,0.08,12840.0,-1.7598,55927,719,1876
423920,4,TIGER 미국필라델피아반도체레버리지(합성),17460,5,-520,-2.89,17504.0,-32.151,215525,3787,1830
458210,7,KIWOOM CD금리액티브(합성),106925,2,10,0.01,106899.0,0.6685,183,19,1802
192090,4,TIGER 차이나CSI300,9775,5,-90,-0.91,9754.0,-5.0073,38432,378,1799
138520,2,TIGER 삼성그룹펀더멘털,10870,2,65,0.6,10893.0,-2.6051,10386,113,1787
448600,6,RISE 25-11 회사채(AA-이상)액티브,52715,2,10,0.02,52709.0,0.8302,1632,86,1772
486450,4,SOL 미국AI전력인프라,14400,2,625,4.54,13758.0,-1.0488,196249,2822,1764
372330,4,KODEX 차이나항셍테크,7940,5,-60,-0.75,7896.0,-12.9015,225447,1799,1747
495850,1,KODEX 코리아밸류업,10360,2,65,0.63,10357.0,1.2788,16585,171,1740
418660,4,TIGER 미국나스닥100레버리지(합성),22445,5,-230,-1.01,22483.0,-18.3178,47575,1073,1717
481190,4,SOL 미국테크TOP10,12100,5,-40,-0.33,12135.0,-9.3083,34003,413,1700
480020,4,ACE 미국빅테크7+데일리타겟커버드콜(합성),9805,3,0,0.0,9848.0,-13.1225,65873,646,1686
483290,4,KODEX 미국배당다우존스타겟커버드콜,9040,5,-85,-0.93,9023.0,-11.4937,339766,3077,1672
448540,7,ACE 엔비디아채권혼합블룸버그,22125,2,30,0.14,22100.0,-1.5813,48836,1079,1659
277630,1,TIGER 코스피,26860,5,-30,-0.11,26895.0,-1.2088,8156,219,1652
467940,6,KODEX 25-11 회사채(A+이상)액티브,10865,3,0,0.0,10873.0,0.7884,5260,57,1647
498270,4,KIWOOM 미국양자컴퓨팅,10230,2,860,9.18,10329.0,3.1483,1635945,16815,1647
451530,6,TIGER 국고채30년스트립액티브,61945,5,-5,-0.01,61916.0,1.5573,20188,1250,1609
272560,6,RISE 단기국공채액티브,113190,2,10,0.01,113188.0,0.9139,2987,338,1596
472920,6,HK 종합채권(AA-이상)액티브,111605,3,0,0.0,111602.0,1.2795,5,0,1593
496080,1,TIGER 코리아밸류업,10335,2,15,0.15,10368.0,1.4749,44491,460,1586
305080,6,TIGER 미국채10년선물,12135,5,-20,-0.16,12144.0,-3.1475,137868,1677,1578
493810,4,TIGER 미국AI빅테크10타겟데일리커버드콜,9365,5,-25,-0.27,9395.0,-9.7463,84553,794,1569
385550,6,RISE 단기채권알파액티브,112505,5,-5,0.0,112509.0,0.951,250,28,1553
219480,4,KODEX 미국S&P500선물(H),26080,5,-75,-0.29,26081.0,-4.7177,4728,123,1539
462900,2,KoAct 바이오헬스케어액티브,14315,5,-50,-0.35,14290.0,0.1743,222509,3181,1532
481430,6,RISE 국고채10년액티브,107950,5,-110,-0.1,108018.0,1.4552,23706,2566,1525
